	gene_human	entrez_id_human	gene_mouse	MGI	MPO_lower	HPO_lower	clusters_m	clusters_h	n_clusters_m	n_clusters_h
40	ABCB4	5244	Abcb4	MGI:97569	MP:0001860,MP:0002118,MP:0012338,MP:0002942,MP:0005344,MP:0001570,MP:0005560,MP:0003893,MP:0004952,MP:0005365,MP:0002139,MP:0005013,MP:0003888,MP:0001656,MP:0003253,MP:0010869,MP:0006264,MP:0002968,MP:0001923,MP:0001566,MP:0003255,MP:0000599,MP:0001654,MP:0000063,MP:0005343,MP:0002928,MP:0000186,MP:0000691,MP:0005179,MP:0000195,MP:0003254,MP:0002998,MP:0008806,MP:0011584,MP:0003256,MP:0010124,MP:0010067,MP:0010876,MP:0002874,MP:0005584,MP:0020134,MP:0020010,MP:0000203,MP:0002941,MP:0000610,MP:0004772,MP:0005627,MP:0001573,MP:0002138,MP:0003328,MP:0000218,MP:0003797,MP:0002647,MP:0005562,MP:0005505,MP:0001569,MP:0003331,MP:0004773,MP:0010155,MP:0008837,MP:0004789,MP:0000219,MP:0000607,MP:0003868,MP:0000598,MP:0000202,MP:0000220,MP:0008993,MP:0009642,MP:0010933,MP:0002606,MP:0003333,MP:0002830,MP:0008991,MP:0021029,MP:0001263,MP:0005415,MP:0002981,MP:0002591,MP:0005642,MP:0012336,MP:0005553,MP:0000130,MP:0003046,MP:0010877,MP:0011977	HP:0000821,HP:0012420,HP:0002896,HP:0001406,HP:0033196,HP:0031248,HP:0012164,HP:0025502,HP:0005230,HP:0001394,HP:0000988,HP:0001402,HP:0001622,HP:0002643,HP:0003124,HP:0001396,HP:0011117,HP:0002613,HP:0100785,HP:0012689,HP:0000952,HP:0012202,HP:0001337,HP:0011848,HP:0011980,HP:0001541,HP:0001513,HP:0030151,HP:0030991,HP:0001082,HP:0100602,HP:0002014,HP:0000989,HP:0001733,HP:0006580,HP:0001408,HP:0000822,HP:0001744,HP:0030948,HP:0002240,HP:0000716,HP:0025116,HP:0200150,HP:0002910,HP:0200148,HP:0030900,HP:0003155,HP:0100523,HP:0001395,HP:0002027,HP:0001732,HP:0000819,HP:0001081,HP:0002960,HP:0001518,HP:0002904	1319,1953,414,1003,3397,790,5589,5432,2786,3050,3333,5065,6151,1588,1626,508,589,3204,522,5487,3809,1393,1865,3456,636,1379,414,5442,181,2344,2565,6931,5671,3949,2565,1924,282,3861,1289,3659,1322,1598,7087,940,1322,2513,1391,7064,5350,2626,650,641,7098,3936,1951,68,419,1954,594,2762,6524,887,2365,2803,1856,2391,2267,6187,4097,143,1538,723,6359,5811,636,2108,5800,1780,2081,1971,2257,1961,1922,68,5034,1557	2706,3880,90,5251,4875,999,2462,1484,1607,1574,1067,724,470,4698,1914,124,1614,1278,2462,1614,3935,362,3641,1066,1914,3479,2633,1821,1343,4008,3642,3023,5504,4871,186,2531,127,1607,1891,4950,2326,1728,1816,1010,999,5504,4156,4979,4471,3693,1816,3223,424,1068,2548,3861	81	49
41	ABCB5	340273	Abcb5	MGI:1924956	MP:0020861,MP:0006000,MP:0003730,MP:0005253,MP:0020858,MP:0000351,MP:0003729,MP:0001312,MP:0005201,MP:0001325,MP:0003731		2927,754,746,1036,3940,4190,2427,2830,1972,2823,3448		11	
42	ABCB6	10058	Abcb6	MGI:1921354	MP:0031276,MP:0003656,MP:0006036,MP:0010831,MP:0008873,MP:0002098,MP:0008874,MP:0009766	HP:0012733,HP:0031613,HP:0001053,HP:0003394,HP:0004802,HP:0004446,HP:0001480,HP:0000992,HP:0002378,HP:0000568,HP:0003768,HP:0007565,HP:0001034,HP:0003324,HP:0000822,HP:0005590,HP:0001923,HP:0000365,HP:0020073,HP:0005518,HP:0002153,HP:0000612,HP:0004322,HP:0001878	1388,1895,2538,3572,1255,399,3478,2249	1085,479,458,3337,3384,5001,464,223,2500,2491,479,1825,2298,3845,127,721,865,174,808,1586,48,1851,76,3197	8	23
43	ABCB7	22	Abcb7	MGI:109533	MP:0011097,MP:0000607,MP:0003984,MP:0011096,MP:0005032,MP:0000598,MP:0001570,MP:0011085,MP:0011088,MP:0005639,MP:0001914,MP:0003121,MP:0011091,MP:0002080,MP:0005584	HP:0001511,HP:0002167,HP:0001618,HP:0002080,HP:0100753,HP:0000980,HP:0000028,HP:0001272,HP:0004447,HP:0002650,HP:0001310,HP:0001903,HP:0100022,HP:0000717,HP:0020081,HP:0002463,HP:0000726,HP:0001260,HP:0006897,HP:0001263,HP:0002363,HP:0002403,HP:0001288,HP:0001252,HP:0002169,HP:0001321,HP:0001992,HP:0006999,HP:0034280,HP:0004840,HP:0001315,HP:0012751,HP:0000716,HP:0002470,HP:0012187,HP:0002075,HP:0001347,HP:0001924,HP:0031020,HP:0012132,HP:0100543,HP:0001250,HP:0025373,HP:0004322,HP:0003487,HP:0001251,HP:0032550,HP:0002172,HP:0000486,HP:0000639,HP:0000602,HP:0011273,HP:0001824,HP:0001336	2854,2365,1890,1428,4423,1856,790,3190,843,767,3491,319,376,5162,3659	1913,2929,3078,2877,3869,2459,1396,118,392,595,920,4139,2072,581,1579,11,1517,2855,4252,3622,707,1754,3890,2755,1977,3219,2990,1196,3771,1929,3771,1053,2326,5442,4253,2039,4753,1180,2017,1579,2605,3492,2637,76,3348,3140,4390,1134,1064,3119,5021,2609,158,3277	15	52
44	ABCB8	11194	Abcb8	MGI:1351667	MP:0005140,MP:0004084,MP:0003393,MP:0010579,MP:0001544,MP:0002833,MP:0003141,MP:0005330,MP:0000266,MP:0003822,MP:0000278,MP:0020367		1477,2533,1899,4366,415,3222,1378,704,184,6825,94,6629		12	
45	ABCB9	23457	Abcb9	MGI:1861729	MP:0002768,MP:0000702,MP:0009142,MP:0010052		4930,4406,1169,3840		4	
46	ABCC1	4363	Abcc1	MGI:102676	MP:0001764,MP:0003329,MP:0008873,MP:0001876,MP:0002423,MP:0008918,MP:0009766	HP:0011390,HP:0000407,HP:0000360	4410,424,1255,3818,1515,1850,2249	783,2507,783	7	2
47	ABCC10	89845	Abcc10	MGI:2386976	MP:0000333,MP:0008482,MP:0001262,MP:0009763,MP:0000692,MP:0002356,MP:0010124,MP:0008873,MP:0008479,MP:0000221,MP:0008484,MP:0000063,MP:0000711		1419,1640,828,976,2010,6164,1924,1255,1260,1291,782,3456,6719		13	
48	ABCC12	94160	Abcc12	MGI:2441679						
49	ABCC2	1244	Abcc2	MGI:1352447	MP:0009642,MP:0008873,MP:0005344,MP:0008935,MP:0001556,MP:0002136,MP:0002966,MP:0004773,MP:0000219,MP:0000609,MP:0002874,MP:0002981,MP:0002591,MP:0011464,MP:0005016,MP:0003917,MP:0002941,MP:0005178,MP:0005343,MP:0004772,MP:0008875	HP:0001928,HP:0002908,HP:0004295,HP:0000952,HP:0001080,HP:0002027,HP:0001392,HP:0001945,HP:0002240,HP:0012086,HP:0012378	4097,1255,3397,1514,3300,602,3747,1954,887,1803,1289,1780,2081,3397,2269,191,940,2234,636,2513,4046	1273,32,2287,3935,923,3693,5243,217,4950,1071,2403	20	11
50	ABCC3	8714	Abcc3	MGI:1923658	MP:0004774,MP:0001982,MP:0005344,MP:0005365,MP:0008875		5559,855,3397,3050,4046		5	
51	ABCC4	10257	Abcc4	MGI:2443111	MP:0006272,MP:0001973,MP:0000496,MP:0000511,MP:0009642,MP:0008470,MP:0005167,MP:0006088,MP:0001858,MP:0009763,MP:0000692,MP:0002356,MP:0008531,MP:0003306,MP:0008537,MP:0001263,MP:0000711,MP:0009815		5335,3655,3507,1116,4097,155,3660,6677,3782,976,2010,6164,2226,3376,2348,2108,6719,3095		18	
52	ABCC5	10057	Abcc5	MGI:1351644	MP:0005016,MP:0005560,MP:0005565,MP:0000221,MP:0001488,MP:0005293,MP:0001513,MP:0005012,MP:0000195		2269,5589,3036,1291,3449,3334,2928,1783,2344		9	
53	ABCC6	368	Abcc6	MGI:1351634	MP:0002839,MP:0006133,MP:0010234,MP:0006188,MP:0005553,MP:0000186,MP:0002838,MP:0005239,MP:0002098,MP:0030533,MP:0003197,MP:0003195,MP:0003196,MP:0000530	HP:0000381,HP:0002634,HP:0001717,HP:0012426,HP:0002829,HP:0001634,HP:0002650,HP:0003207,HP:0001384,HP:0003109,HP:0001297,HP:0002705,HP:0000405,HP:0000218,HP:0011703,HP:0200067,HP:0009164,HP:0007392,HP:0002647,HP:0000592,HP:0004374,HP:0000410,HP:0011968,HP:0004966,HP:0000488,HP:0033027,HP:0000630,HP:0000766,HP:0012457,HP:0001061,HP:0002808,HP:0000821,HP:0004306,HP:0100817,HP:0000407,HP:0000121,HP:0030718,HP:0030149,HP:0001342,HP:0001681,HP:0000973,HP:0001677,HP:0005180,HP:0004912,HP:0001635,HP:0002092,HP:0032553,HP:0011344,HP:0000608,HP:0000822,HP:0012508,HP:0000505,HP:0001945,HP:0005213,HP:0100585,HP:0010512,HP:0001658,HP:0007663,HP:0000951,HP:0002949,HP:0001718,HP:0002815,HP:0001723,HP:0001531,HP:0012664,HP:0000545,HP:0000974,HP:0001065,HP:0000988,HP:0100679,HP:0025169,HP:0006559,HP:0045051,HP:0000961,HP:0002514,HP:0002098,HP:0001640,HP:0012408,HP:0002621,HP:0001541,HP:0025533,HP:0001645,HP:0001698,HP:0001561,HP:0025115,HP:0003941,HP:0001102,HP:0002749,HP:0000765,HP:0012409,HP:0001482,HP:0000474,HP:0100758,HP:0002326,HP:0000365,HP:0001872,HP:0010639,HP:0025477,HP:0001714,HP:0033026,HP:0004417,HP:0005297,HP:0100659,HP:0001012,HP:0006690,HP:0000969,HP:0004943,HP:0000737,HP:0001382,HP:0001789,HP:0025507,HP:0001653,HP:0011506,HP:0000573,HP:0000989,HP:0000978,HP:0005462,HP:0025116,HP:0040197,HP:0003836,HP:0030680,HP:0002239,HP:0100545,HP:0010766,HP:0004963,HP:0001250,HP:0002172,HP:0002013,HP:0002617,HP:0005103	3873,4234,568,3463,1961,414,3463,1087,399,6583,4304,913,913,2220	2888,446,5393,3791,1422,2079,595,691,3242,4954,4774,2304,4908,4125,5006,3971,5208,3683,1906,1694,1519,1609,2933,4328,5244,126,3324,2240,1906,3922,659,2706,2453,1750,2507,1437,2455,1498,2670,2158,3418,2758,3582,2502,3792,3235,2691,3280,1467,127,1336,5235,217,5271,1236,4418,3006,2373,2102,2355,1878,792,944,3719,409,2691,2671,814,1067,1162,1256,4372,964,530,2993,533,2012,3822,903,3479,3603,2429,2568,1211,944,3334,126,274,535,1162,3026,3752,947,3893,174,842,2140,691,173,1750,2735,3324,1576,1852,2453,1540,1714,1630,1948,58,126,4107,1830,3334,5504,89,2267,1728,21,2140,2391,259,5245,332,113,3492,1134,378,3324,4235	12	117
54	ABCC8	6833	Abcc8	MGI:1352629	MP:0003058,MP:0005559,MP:0003564,MP:0020345,MP:0003059,MP:0005560,MP:0005217,MP:0005293,MP:0003960,MP:0000189	HP:0000857,HP:0001249,HP:0005978,HP:0004904,HP:0031084,HP:0001511,HP:0031224,HP:0031819,HP:0002804,HP:0011342,HP:0011182,HP:0001639,HP:0030794,HP:0001488,HP:0040214,HP:0001257,HP:0001537,HP:0008936,HP:0009830,HP:0000831,HP:0002329,HP:0001998,HP:0000842,HP:0000124,HP:0000343,HP:0002240,HP:0011968,HP:0001985,HP:0000488,HP:0002305,HP:0010935,HP:0030057,HP:0001824,HP:0000821,HP:0002594,HP:0040216,HP:0012758,HP:0005487,HP:0010864,HP:0004510,HP:0002123,HP:0001520,HP:0002714,HP:0004924,HP:0001952,HP:0001263,HP:0001953,HP:0005750,HP:0003074,HP:0000158,HP:0011106,HP:0002591,HP:0003477,HP:0002173,HP:0001944,HP:0002133,HP:0002919,HP:0001347,HP:0006274,HP:0012594,HP:0002186,HP:0000707,HP:0040217,HP:0025502,HP:0000077,HP:0003698,HP:0001324,HP:0003162,HP:0001325,HP:0001254,HP:0040025,HP:0002069,HP:0000079,HP:0002521,HP:0001252,HP:0001962,HP:0000956,HP:0000365,HP:0001069,HP:0003196,HP:0040299,HP:0000486,HP:0001270,HP:0003076,HP:0001518,HP:0000112,HP:0001627,HP:0001259,HP:0000980,HP:0001279,HP:0040064,HP:0000463,HP:0000107,HP:0008255,HP:0009800,HP:0031223,HP:0007185,HP:0000737,HP:0001290,HP:0001513,HP:0001649,HP:0012028,HP:0000825,HP:0001508,HP:0100651,HP:0012434,HP:0012759,HP:0000713,HP:0001943,HP:0009894,HP:0001250,HP:0001251,HP:0000855,HP:0030796,HP:0002013,HP:0001738	6690,957,5863,330,1352,5589,664,3334,3372,3386	790,544,2031,5416,1951,1913,2182,1992,2627,2235,5255,3083,154,3135,92,2530,5532,3417,2602,1237,84,460,2061,3510,1293,4950,2933,1756,5244,551,977,520,158,2706,5323,8,2885,2694,4695,4609,2252,4955,4266,92,1664,3622,154,28,3459,2241,1287,1058,3697,4179,4719,101,329,4753,28,4733,3200,1198,92,1484,1702,782,4890,360,1920,1,1345,2934,2050,5276,2755,1701,2076,174,1951,2239,284,1064,3251,3164,2548,1029,493,854,2459,2917,2215,1506,2261,154,1260,1928,649,1630,5483,2633,284,5259,1232,1900,1292,3473,695,2182,3782,1928,3492,3140,52,3836,378,2108	10	107
55	ABCC9	10060	Abcc9	MGI:1352630	MP:0001625,MP:0001596,MP:0008788,MP:0008489,MP:0006144,MP:0006143,MP:0011925,MP:0006135,MP:0002842,MP:0006047,MP:0003394,MP:0005290,MP:0020345,MP:0005595,MP:0011951,MP:0010575,MP:0011085,MP:0003674,MP:0003897,MP:0030021,MP:0000230,MP:0002891,MP:0002083,MP:0005330,MP:0005590,MP:0010468,MP:0010052,MP:0009865,MP:0000219,MP:0031192,MP:0003484,MP:0008872,MP:0002753,MP:0004937,MP:0005292,MP:0014172,MP:0002833,MP:0008770,MP:0010574,MP:0005140,MP:0003646,MP:0000231,MP:0011631,MP:0011390,MP:0008406,MP:0005016,MP:0005039,MP:0006036,MP:0000249,MP:0000274,MP:0003137,MP:0000278,MP:0000189	HP:0006670,HP:0011704,HP:0001869,HP:0000179,HP:0004975,HP:0500093,HP:0010535,HP:0000215,HP:0000926,HP:0002650,HP:0004308,HP:0004634,HP:0032012,HP:0005129,HP:0001639,HP:0001537,HP:0030891,HP:0003300,HP:0002938,HP:0012368,HP:0000939,HP:0000431,HP:0000294,HP:0001643,HP:0000470,HP:0002230,HP:0002652,HP:0000601,HP:0012764,HP:0100578,HP:0003546,HP:0005590,HP:0000343,HP:0012378,HP:0004756,HP:0001695,HP:0001047,HP:0000885,HP:0000286,HP:0001644,HP:0000689,HP:0000407,HP:0012251,HP:0001377,HP:0000336,HP:0002321,HP:0001771,HP:0020045,HP:0001520,HP:0000455,HP:0001256,HP:0001635,HP:0010068,HP:0000774,HP:0000944,HP:0005445,HP:0001658,HP:0002690,HP:0000280,HP:0004757,HP:0002395,HP:0000219,HP:0001654,HP:0025169,HP:0001727,HP:0001647,HP:0011712,HP:0001566,HP:0001640,HP:0000565,HP:0005110,HP:0001663,HP:0033204,HP:0011081,HP:0003457,HP:0002094,HP:0009882,HP:0011705,HP:0001698,HP:0001252,HP:0011220,HP:0001962,HP:0001374,HP:0000965,HP:0010109,HP:0004755,HP:0004751,HP:0000527,HP:0000739,HP:0000957,HP:0000639,HP:0000212,HP:0001004,HP:0011675,HP:0002750,HP:0000256,HP:0000154,HP:0001279,HP:0001907,HP:0007665,HP:0000463,HP:0008822,HP:0000969,HP:0002673,HP:0003198,HP:0001649,HP:0010059,HP:0010055,HP:0002875,HP:0003016,HP:0005616,HP:0006101,HP:0005280,HP:0100749,HP:0004540,HP:0011715,HP:0002162,HP:0002172,HP:0012471,HP:0000574	1559,4509,3473,2502,3487,3486,1822,2174,926,7123,1113,532,330,52,2529,3367,3190,2236,732,5022,1345,3254,3221,704,3367,4874,3840,2943,887,52,1015,2139,614,1696,949,2606,3222,648,6755,1477,6126,1019,6449,3641,3999,2269,6784,2538,1335,3465,732,94,3386	5475,91,1253,2134,3364,774,2958,5272,5265,595,344,132,1864,1864,3083,5532,5356,1118,3816,2058,1876,1806,2945,189,4730,3081,5254,3562,494,3444,5433,721,1293,2403,3911,455,2984,150,3206,2409,2145,2507,132,1438,1259,359,1988,3851,4955,1062,264,3792,853,5174,2550,4621,3006,1843,848,27,2022,1783,3093,1256,4114,2210,132,3972,2012,987,3918,634,721,1062,2669,2802,1057,445,2568,2755,1569,1701,257,3322,269,91,132,1513,1258,4502,3119,1685,3394,3143,3249,3402,3637,2917,1896,3096,1506,5433,1540,928,2959,284,488,317,5530,2352,610,2214,2487,1882,3081,132,1864,1134,1284,3898	50	109
56	ABCD1	215	Abcd1	MGI:1349215	MP:0001106,MP:0001405,MP:0002118,MP:0000136,MP:0008294,MP:0008295,MP:0005284,MP:0000955,MP:0003354,MP:0003492,MP:0001304,MP:0008288,MP:0001303,MP:0001516,MP:0002182,MP:0001921,MP:0005281,MP:0000920,MP:0001525,MP:0000952,MP:0003633,MP:0000745,MP:0001846,MP:0001504,MP:0010831,MP:0005403,MP:0001393,MP:0003313,MP:0002272,MP:0002757,MP:0005405,MP:0001392	HP:0001249,HP:0001511,HP:0004302,HP:0002061,HP:0001272,HP:0001396,HP:0002500,HP:0012534,HP:0007199,HP:0040307,HP:0001257,HP:0000572,HP:0006827,HP:0002385,HP:0002292,HP:0002371,HP:0040288,HP:0001268,HP:0001328,HP:0200008,HP:0100502,HP:0012378,HP:0100543,HP:0000518,HP:0000618,HP:0002119,HP:0001824,HP:0002936,HP:0007266,HP:0001181,HP:0002167,HP:0008969,HP:0000407,HP:0100816,HP:0008207,HP:0030014,HP:0000317,HP:0002540,HP:0000347,HP:0031993,HP:0033643,HP:0007018,HP:0007034,HP:0030151,HP:0002064,HP:0002251,HP:0001263,HP:0010284,HP:0001288,HP:0007006,HP:0002355,HP:0002143,HP:0100806,HP:0000657,HP:0003477,HP:0002017,HP:0012501,HP:0007141,HP:0001289,HP:0001347,HP:0000135,HP:0002180,HP:0007162,HP:0003089,HP:0007663,HP:0002027,HP:0002186,HP:0004322,HP:0001283,HP:0031064,HP:0003487,HP:0031358,HP:0001531,HP:0000835,HP:0007305,HP:0000736,HP:0002839,HP:0001285,HP:0100291,HP:0000802,HP:0001310,HP:0002518,HP:0002311,HP:0004359,HP:0000026,HP:0010527,HP:0002070,HP:0000849,HP:0001260,HP:0001258,HP:0011448,HP:0002014,HP:0002196,HP:0002354,HP:0000012,HP:0030177,HP:0001271,HP:0007372,HP:0045084,HP:0030222,HP:0002910,HP:0002019,HP:0010794,HP:0000365,HP:0003196,HP:0011749,HP:0000486,HP:0000752,HP:0002213,HP:0009053,HP:0000708,HP:0040078,HP:0001269,HP:0001332,HP:0002078,HP:0002283,HP:0100639,HP:0000846,HP:0000764,HP:0003455,HP:0012719,HP:0001000,HP:0100031,HP:0008167,HP:0002015,HP:0002607,HP:0000016,HP:0003418,HP:0000726,HP:0000020,HP:0007340,HP:0000709,HP:0006938,HP:0410263,HP:0008163,HP:0001596,HP:0001250,HP:0005214,HP:0001251,HP:0000953,HP:0001350,HP:0009830,HP:0031845	237,5542,1953,2790,6332,43,6130,5660,2248,4270,1230,211,1738,2158,2691,2181,2440,1983,3330,1693,2699,3283,1692,108,3572,2892,3307,2652,43,3402,1210,934	544,1913,2651,3308,118,124,3253,554,3221,1046,2530,3859,5268,1092,3863,3357,1983,3831,4184,1643,863,2403,2605,16,2634,184,158,2103,4710,2099,2929,4227,2507,3969,1113,1046,3070,2232,2000,3268,4800,2268,4945,1821,3293,2969,3622,338,3890,1229,2560,3733,2425,1279,3697,2567,2374,2821,38,4753,2496,1441,3209,1138,2373,3693,3200,76,1229,668,3348,3979,3719,358,4860,42,5119,1456,2855,810,920,1942,463,3023,979,2000,1874,4915,2855,682,2891,3023,1245,73,2126,1381,1960,3969,1474,2374,1010,2119,1898,174,2239,4151,1064,3303,1431,937,3011,3311,2277,1265,1119,1107,5388,907,5231,4870,1566,2950,3708,1674,2499,2398,2547,1381,1517,1788,3263,4988,2674,3237,3943,4035,3492,4417,3140,3667,1611,2602,338	31	134
57	ABCD2	225	Abcd2	MGI:1349467	MP:0001405,MP:0000876,MP:0003354,MP:0005404,MP:0003492,MP:0008288,MP:0001399,MP:0001516,MP:0002182,MP:0005281,MP:0000875,MP:0000952,MP:0000961,MP:0003224,MP:0003633,MP:0000745,MP:0001846,MP:0001392,MP:0002757,MP:0001504,MP:0002183,MP:0005403,MP:0001393,MP:0000877,MP:0003313,MP:0002272,MP:0000136,MP:0005405,MP:0001525		5542,819,2248,1814,4270,211,3358,2158,2691,2440,739,1693,761,1448,2699,3283,1692,934,3402,108,5448,2892,3307,2616,2652,43,2790,1210,3330		29	
58	ABCD3	5825	Abcd3	MGI:1349216	MP:0002644,MP:0002968,MP:0009642,MP:0003960,MP:0010124,MP:0013279,MP:0005278,MP:0000599,MP:0005292,MP:0004773,MP:0010025,MP:0000063,MP:0010053,MP:0000194,MP:0014010,MP:0005568,MP:0010052	HP:0000952,HP:0003645,HP:0001891,HP:0001395,HP:0001409,HP:0025196,HP:0012202,HP:0006580,HP:0001744,HP:0002240,HP:0002910,HP:0002904	1450,3204,4097,3372,1924,3533,3555,1393,949,1954,2276,3456,1768,2376,4532,4076,3840	3935,614,1222,4471,36,185,362,186,1607,4950,1010,3861	17	12
59	ABCD4	5826	Abcd4	MGI:1349217	MP:0001413,MP:0005316	HP:0002750,HP:0001631,HP:0002059,HP:0001875,HP:0000028,HP:0003524,HP:0002533,HP:0000347,HP:0000888,HP:0006610,HP:0000316,HP:0001254,HP:0001873,HP:0003223,HP:0001643,HP:0012120,HP:0000023,HP:0002092,HP:0001263,HP:0001508,HP:0001252,HP:0002020,HP:0033443,HP:0002156,HP:0002160,HP:0002789,HP:0003145,HP:0011968,HP:0003658,HP:0025116,HP:0001895,HP:0002912,HP:0001680,HP:0001510,HP:0001591	6941,5329	3249,2498,2161,2359,1396,12,4969,2000,3864,232,3838,1,3247,12,189,527,2506,3235,3622,1900,2755,4589,4959,12,12,841,527,2933,12,1728,88,618,5473,636,4742	2	30
60	ABCE1	6059	Abce1	MGI:1195458	MP:0000219,MP:0005554,MP:0011096,MP:0001293,MP:0002059,MP:0011100,MP:0000702,MP:0012362,MP:0013292,MP:0009142		887,764,1428,3713,1671,3158,4406,1813,1756,1169		10	
61	ABCF1	23	Abcf1	MGI:1351658	MP:0013292		1756		1	
62	ABCF3	55324	Abcf3	MGI:1351656						
63	ABCG1	9619	Abcg1	MGI:107704	MP:0004777,MP:0031268,MP:0004780,MP:0004809,MP:0002446,MP:0000240,MP:0005011,MP:0002118,MP:0003982,MP:0001861,MP:0002971,MP:0008112,MP:0005278,MP:0031391,MP:0005317,MP:0005659,MP:0004889,MP:0001545,MP:0006410,MP:0000219,MP:0008078,MP:0008246,MP:0003795,MP:0008126,MP:0002451,MP:0002398,MP:0005014,MP:0001175,MP:0005533,MP:0003009,MP:0000223,MP:0008681,MP:0003193,MP:0009115,MP:0008570,MP:0002628,MP:0001547,MP:0008690,MP:0001183,MP:0000220,MP:0000189,MP:0008722,MP:0008074,MP:0004778,MP:0005289		4213,1040,5602,1195,3387,1203,4876,1953,620,1577,869,6119,3555,2973,1089,1835,1175,525,2826,887,4616,1974,1978,340,3988,951,4124,3019,5569,2371,3530,6840,5558,5649,6467,5064,1560,3369,1621,2267,3386,734,655,6530,1236		45	
64	ABCG4	64137	Abcg4	MGI:1890594	MP:0001547,MP:0002118,MP:0003193,MP:0005278		1560,1953,5558,3555		4	
65	ABCG5	64240	Abcg5	MGI:1351659	MP:0004777,MP:0010078,MP:0002118,MP:0002413,MP:0008254,MP:0001925,MP:0000180,MP:0003975,MP:0000221,MP:0002645,MP:0003141,MP:0003982,MP:0010077,MP:0005606,MP:0005179,MP:0001552,MP:0030025,MP:0004720,MP:0000229,MP:0005278,MP:0010076,MP:0013756,MP:0005330,MP:0002083,MP:0002642,MP:0009549,MP:0013437,MP:0001265,MP:0001505,MP:0002640,MP:0014060,MP:0003868,MP:0001585,MP:0001783,MP:0000609,MP:0002981,MP:0005266,MP:0009269,MP:0002417,MP:0006298,MP:0003193,MP:0003983,MP:0005065,MP:0010074,MP:0001926,MP:0001156,MP:0002599,MP:0000599,MP:0003191,MP:0003179,MP:0004772,MP:0000208,MP:0031085,MP:0003949	HP:0033341,HP:0001920,HP:0012397,HP:0004950,HP:0007201,HP:0002829,HP:0012638,HP:0003124,HP:0000799,HP:0005162,HP:0030148,HP:0003077,HP:0030882,HP:0001138,HP:0010874,HP:0001681,HP:0001677,HP:0002094,HP:3000062,HP:0001653,HP:0001645,HP:0004381,HP:0005177,HP:0004416,HP:0000822,HP:0005181,HP:0006693,HP:0000991,HP:0003141,HP:0004963,HP:0012373,HP:0001658,HP:0100261,HP:0001397	4213,2088,1953,604,1979,3243,6758,6517,1291,1026,1378,620,1026,1505,181,3303,233,3600,233,3555,620,2879,704,3221,1330,5539,2803,3130,1647,593,6924,2803,645,1848,1803,1780,1872,2879,2247,1145,5558,2088,1796,6997,1495,2945,1706,1393,4474,1073,2513,2051,1764,5324	2253,1145,164,1615,131,1422,2253,1914,1360,2041,4726,1703,2758,1652,5169,2158,2758,2802,2379,4107,2429,5529,131,131,127,164,4726,2068,961,113,760,3006,113,3840	48	27
66	ABCG8	64241	Abcg8	MGI:1914720	MP:0001523,MP:0005387,MP:0013513,MP:0010078,MP:0008207,MP:0010896,MP:0001925,MP:0008079,MP:0000691,MP:0002645,MP:0003982,MP:0010077,MP:0005179,MP:0001552,MP:0005018,MP:0001304,MP:0011044,MP:0010076,MP:0001303,MP:0013756,MP:0005278,MP:0005562,MP:0013510,MP:0005599,MP:0008075,MP:0003921,MP:0004151,MP:0002139,MP:0013437,MP:0005419,MP:0010067,MP:0005634,MP:0003868,MP:0001783,MP:0002874,MP:0002591,MP:0005642,MP:0009269,MP:0002968,MP:0003193,MP:0008040,MP:0003983,MP:0002941,MP:0000598,MP:0001926,MP:0001554,MP:0002599,MP:0003191,MP:0000599,MP:0005553,MP:0005178,MP:0005343,MP:0000689,MP:0005627	HP:0033341,HP:0001920,HP:0004870,HP:0012397,HP:0100546,HP:0004950,HP:0007201,HP:0002829,HP:0003540,HP:0012638,HP:0001892,HP:0003124,HP:0000799,HP:0005162,HP:0030148,HP:0001369,HP:0003077,HP:0004802,HP:0008158,HP:0004446,HP:0001903,HP:0025435,HP:0030882,HP:0001138,HP:0010874,HP:0001681,HP:0001114,HP:0001677,HP:0002094,HP:0001873,HP:0020181,HP:3000062,HP:0031290,HP:0001653,HP:0001645,HP:0004381,HP:0005177,HP:0001902,HP:0004416,HP:0000822,HP:0005181,HP:0006693,HP:0001744,HP:0001923,HP:0000991,HP:0003141,HP:0001084,HP:0004963,HP:0012373,HP:0001658,HP:0002027,HP:0100261,HP:0001081,HP:0001397	3357,1716,498,2088,2163,3362,3243,2203,5442,1026,620,1026,181,3303,2014,1230,1445,620,1738,2879,3555,3936,498,4235,1772,1363,2633,3333,2803,2053,282,2399,2803,1848,1289,2081,1971,2879,3204,5558,866,2088,940,1856,1495,3021,1706,4474,1393,1961,2234,636,1499,1391	2253,1145,3760,164,714,1615,131,1422,1242,2253,2325,1914,1360,2041,4726,4330,1703,3384,1615,5001,4139,3128,2758,1652,5169,2158,1683,2758,2802,3247,1277,2379,5289,4107,2429,5529,131,688,131,127,164,4726,1607,865,2068,961,3731,113,760,3006,3693,113,424,3840	48	46
67	ABHD1	84696	Abhd1	MGI:1931013						
68	ABHD10	55347	Abhd10	MGI:2442422	MP:0005011,MP:0005344,MP:0001925		4876,3397,3243		3	
